RMU_NO,ZENON_GSS-FID,ZENON_signal_name,ZENON_DOT_NO,ADMS_GSS-FID,ADMS_signal_name,ADMS_DOT_NO
10689,JED-NTH-ABN-30,10689_Y2-22516_KW,13069,JED-NTH ABH AH308,10689 Q1 Q(kVar),13069
10689,JED-NTH-ABN-30,10689_TR1_PF,13070,JED-NTH ABH AH308,10689 Q1 Power factor,13070
10689,JED-NTH-ABN-30,10689_Y3-08ABH_KVA,13071,JED-NTH ABH AH308,10689 Y3 S(kVA),13071
10689,JED-NTH-ABN-30,10689_Y3-08ABH_KVAR,13071,,,
10689,JED-NTH-ABN-30,10689_Y3-08ABH_KW,13072,JED-NTH ABH AH308,10689 Y3 P(kW),13072
10689,,,,JED-NTH ABH AH308,10689 Y3 Q(kVar),13073
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_CMD,1,JED-NTH ABH AH306,15953 Y1 CMD,1
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_CMD,5,JED-NTH ABH AH306,15953 Q1 CMD,5
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_CMD,9,JED-NTH ABH AH306,15953 Y2 CMD,9
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_ST_LOCK,1000,JED-NTH ABH AH306,15953 Y1/Lock/Unlock indication value,1000
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_ST_GND,1001,JED-NTH ABH AH306,15953 KY1 state,1001
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_ST_LOCK,1002,JED-NTH ABH AH306,15953 Q1/Lock/Unlock indication value,1002
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_ST_GND,1003,JED-NTH ABH AH306,15953 KQ1 state,1003
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_ST_LOCK,1004,JED-NTH ABH AH306,15953 Y2/Lock/Unlock indication value,1004
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_ST_GND,1005,JED-NTH ABH AH306,15953 KY2 state,1005
15953,JED-NTH-ABN-29,15953_BATT_LOW,1008,JED-NTH ABH AH306,15953 Battery low value,1008
15953,JED-NTH-ABN-29,15953_GAS_LOW,1009,JED-NTH ABH AH306,15953 Gas low value,1009
15953,JED-NTH-ABN-29,15953_AC_FAIL,1010,JED-NTH ABH AH306,15953 AC power fail value,1010
15953,JED-NTH-ABN-29,15953_DOOR_OPENED,1011,JED-NTH ABH AH306,15953 Door open value,1011
15953,JED-NTH-ABN-29,15953_DC_ST,1012,JED-NTH ABH AH306,15953 DC power fail value,1012
15953,JED-NTH-ABN-29,15953_MOTOR_CRT_FAIL,1013,JED-NTH ABH AH306,15953 Motor circuit fail value,1013
15953,JED-NTH-ABN-29,15953_RTU_FAIL,1277,JED-NTH ABH AH306,15953 RTU Self diagnostic value,1277
15953,JED-NTH-ABN-29,15953_EFI,1278,JED-NTH ABH AH306,15953 EFI (Fault indication) value,1278
15953,JED-NTH-ABN-29,15953_PROT_HEALTH,1279,JED-NTH ABH AH306,15953 Protection Health value,1279
15953,JED-NTH-ABN-29,15953_PROT_TRIP_EFI,1280,JED-NTH ABH AH306,15953 Protection Trip (Earth fault) value,1280
15953,JED-NTH-ABN-29,15953_PROT_TRIP_PH_FLT,1281,JED-NTH ABH AH306,15953 Protection Trip (Phase fault) value,1281
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_ST,11000,JED-NTH ABH AH306,15953 Y1 state,11000
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_ST,11001,JED-NTH ABH AH306,15953 Q1 state,11001
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_ST,11002,JED-NTH ABH AH306,15953 Y2 state,11002
15953,JED-NTH-ABN-29,15953_LR,11004,JED-NTH ABH AH306,15953 Remote/Local value,11004
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_AMP_A,13015,JED-NTH ABH AH306,15953 Y1 i_a_value(A),13015
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_AMP_B,13016,JED-NTH ABH AH306,15953 Y1 i_b_value(A),13016
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_AMP_C,13017,JED-NTH ABH AH306,15953 Y1 i_c_value(A),13017
15953,JED-NTH-ABN-29,15953_Y1-RMU8723_AMP_N,13018,JED-NTH ABH AH306,15953 Y1 i_n_value(A),13018
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_AMP_A,13019,JED-NTH ABH AH306,15953 Q1 i_a_value(A),13019
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_AMP_B,13020,JED-NTH ABH AH306,15953 Q1 i_b_value(A),13020
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_AMP_C,13021,JED-NTH ABH AH306,15953 Q1 i_c_value(A),13021
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_AMP_N,13022,JED-NTH ABH AH306,15953 Q1 i_n_value(A),13022
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_AMP_A,13023,JED-NTH ABH AH306,15953 Y2 i_a_value(A),13023
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_AMP_B,13024,JED-NTH ABH AH306,15953 Y2 i_b_value(A),13024
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_AMP_C,13025,JED-NTH ABH AH306,15953 Y2 i_c_value(A),13025
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_AMP_N,13026,JED-NTH ABH AH306,15953 Y2 i_n_value(A),13026
15953,,,,JED-NTH ABH AH306,15953 Y1 S(kVA),13057
15953,,,,JED-NTH ABH AH306,15953 Y1 P(kW),13058
15953,,,,JED-NTH ABH AH306,15953 Y1 Q(kVar),13059
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_VOLT_A,13060,JED-NTH ABH AH306,15953 Q1 u_ab_value(kV),13060
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_VOLT_B,13061,JED-NTH ABH AH306,15953 Q1 u_bc_value(kV),13061
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_VOLT_C,13062,JED-NTH ABH AH306,15953 Q1 u_ca_value(kV),13062
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_VOLT_N,13063,JED-NTH ABH AH306,15953 Q1 u_n_value(kV),13063
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_KVA,13064,JED-NTH ABH AH306,15953 Q1 S(kVA),13064
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_KVA,13064,,,
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_KW,13065,JED-NTH ABH AH306,15953 Q1 P(kW),13065
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_KW,13065,,,
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_KVAR,13066,JED-NTH ABH AH306,15953 Q1 Q(kVar),13066
15953,JED-NTH-ABN-29,15953_Y2-RMU17483_KVAR,13066,,,
15953,JED-NTH-ABN-29,15953_TR1-RMU15953_PF,13067,JED-NTH ABH AH306,15953 Q1 Power factor,13067
15953,,,,JED-NTH ABH AH306,15953 Y2 S(kVA),13068
15953,,,,JED-NTH ABH AH306,15953 Y2 P(kW),13069
15953,,,,JED-NTH ABH AH306,15953 Y2 Q(kVar),13070
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_CMD,1,JED-NTH ABH AH311,16151 Y1 CMD,1
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_CMD,5,JED-NTH ABH AH311,16151 Q1 CMD,5
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_CMD,9,JED-NTH ABH AH311,16151 Y2 CMD,9
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_ST_LOCK,1000,JED-NTH ABH AH311,16151 Y1/Lock/Unlock indication value,1000
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_ST_GND,1001,JED-NTH ABH AH311,16151 KY1 state,1001
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_ST_LOCK,1002,JED-NTH ABH AH311,16151 Q1/Lock/Unlock indication value,1002
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_ST_GND,1003,JED-NTH ABH AH311,16151 KQ1 state,1003
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_ST_LOCK,1004,JED-NTH ABH AH311,16151 Y2/Lock/Unlock indication value,1004
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_ST_GND,1005,JED-NTH ABH AH311,16151 KY2 state,1005
16151,JED-NTH-NAH-55,16151_BATT_LOW,1008,JED-NTH ABH AH311,16151 Battery low value,1008
16151,JED-NTH-NAH-55,16151_GAS_LOW,1009,JED-NTH ABH AH311,16151 Gas low value,1009
16151,JED-NTH-NAH-55,16151_AC_FAIL,1010,JED-NTH ABH AH311,16151 AC power fail value,1010
16151,JED-NTH-NAH-55,16151_DOOR_OPENED,1011,JED-NTH ABH AH311,16151 Door open value,1011
16151,JED-NTH-NAH-55,16151_DC_ST,1012,JED-NTH ABH AH311,16151 DC power fail value,1012
16151,JED-NTH-NAH-55,16151_MOTOR_CRT_FAIL,1013,JED-NTH ABH AH311,16151 Motor circuit fail value,1013
16151,JED-NTH-NAH-55,16151_RTU_FAIL,1277,JED-NTH ABH AH311,16151 RTU Self diagnostic value,1277
16151,JED-NTH-NAH-55,16151_EFI,1278,JED-NTH ABH AH311,16151 EFI (Fault indication) value,1278
16151,JED-NTH-NAH-55,16151_PROT_HEALTH,1279,JED-NTH ABH AH311,16151 Protection Health value,1279
16151,JED-NTH-NAH-55,16151_PROT_TRIP_EFI,1280,JED-NTH ABH AH311,16151 Protection Trip (Earth fault) value,1280
16151,JED-NTH-NAH-55,16151_PROT_TRIP_PH_FLT,1281,JED-NTH ABH AH311,16151 Protection Trip (Phase fault) value,1281
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_ST,11000,JED-NTH ABH AH311,16151 Y1 state,11000
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_ST,11001,JED-NTH ABH AH311,16151 Q1 state,11001
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_ST,11002,JED-NTH ABH AH311,16151 Y2 state,11002
16151,JED-NTH-NAH-55,16151_LR,11004,JED-NTH ABH AH311,16151 Remote/Local value,11004
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_AMP_A,13015,JED-NTH ABH AH311,16151 Y1 i_a_value(A),13015
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_AMP_B,13016,JED-NTH ABH AH311,16151 Y1 i_b_value(A),13016
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_AMP_C,13017,JED-NTH ABH AH311,16151 Y1 i_c_value(A),13017
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_AMP_N,13018,JED-NTH ABH AH311,16151 Y1 i_n_value(A),13018
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_AMP_A,13019,JED-NTH ABH AH311,16151 Q1 i_a_value(A),13019
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_AMP_B,13020,JED-NTH ABH AH311,16151 Q1 i_b_value(A),13020
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_AMP_C,13021,JED-NTH ABH AH311,16151 Q1 i_c_value(A),13021
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_AMP_N,13022,JED-NTH ABH AH311,16151 Q1 i_n_value(A),13022
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_AMP_A,13023,JED-NTH ABH AH311,16151 Y2 i_a_value(A),13023
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_AMP_B,13024,JED-NTH ABH AH311,16151 Y2 i_b_value(A),13024
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_AMP_C,13025,JED-NTH ABH AH311,16151 Y2 i_c_value(A),13025
16151,JED-NTH-NAH-55,16151_Y2-RMU11433_AMP_N,13026,JED-NTH ABH AH311,16151 Y2 i_n_value(A),13026
16151,,,,JED-NTH ABH AH311,16151 Y1 S(kVA),13057
16151,,,,JED-NTH ABH AH311,16151 Y1 P(kW),13058
16151,,,,JED-NTH ABH AH311,16151 Y1 Q(kVar),13059
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_VOLT_A,13060,JED-NTH ABH AH311,16151 Q1 u_ab_value(kV),13060
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_VOLT_B,13061,JED-NTH ABH AH311,16151 Q1 u_bc_value(kV),13061
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_VOLT_C,13062,JED-NTH ABH AH311,16151 Q1 u_ca_value(kV),13062
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_VOLT_N,13063,JED-NTH ABH AH311,16151 Q1 u_n_value(kV),13063
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_KVA,13064,JED-NTH ABH AH311,16151 Q1 S(kVA),13064
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_KVA,13064,,,
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_KW,13065,JED-NTH ABH AH311,16151 Q1 P(kW),13065
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_KW,13065,,,
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_KVAR,13066,JED-NTH ABH AH311,16151 Q1 Q(kVar),13066
16151,JED-NTH-NAH-55,16151_Y1-RMU13314_KVAR,13066,,,
16151,JED-NTH-NAH-55,16151_TR1-RMU16151_PF,13067,JED-NTH ABH AH311,16151 Q1 Power factor,13067
16151,,,,JED-NTH ABH AH311,16151 Y2 S(kVA),13068
16151,,,,JED-NTH ABH AH311,16151 Y2 P(kW),13069
16151,,,,JED-NTH ABH AH311,16151 Y2 Q(kVar),13070
16781,JED-NTH-DHN-40,16781_Y1-16782_CMD,1,JED-NTH ABH AH303,16781 Y1 CMD,1
16781,JED-NTH-DHN-40,16781_TR1_CMD,5,JED-NTH ABH AH303,16781 Q1 CMD,5
16781,JED-NTH-DHN-40,16781_Y2-29719_CMD,9,JED-NTH ABH AH303,16781 Y2 CMD,9
16781,JED-NTH-DHN-40,16781_Y1-16782_ST_LOCK,1000,JED-NTH ABH AH303,16781 Y1/Lock/Unlock indication value,1000
16781,JED-NTH-DHN-40,16781_Y1-16782_ST_GND,1001,JED-NTH ABH AH303,16781 KY1 state,1001
16781,JED-NTH-DHN-40,16781_TR1_ST_LOCK,1002,JED-NTH ABH AH303,16781 Q1/Lock/Unlock indication value,1002
16781,JED-NTH-DHN-40,16781_TR1_ST_GND,1003,JED-NTH ABH AH303,16781 KQ1 state,1003
16781,JED-NTH-DHN-40,16781_Y2-29719_ST_LOCK,1004,JED-NTH ABH AH303,16781 Y2/Lock/Unlock indication value,1004
16781,JED-NTH-DHN-40,16781_Y2-29719_ST_GND,1005,JED-NTH ABH AH303,16781 KY2 state,1005
16781,JED-NTH-DHN-40,16781_BATT_LOW,1008,JED-NTH ABH AH303,16781 Battery low value,1008
16781,JED-NTH-DHN-40,16781_GAS_LOW,1009,JED-NTH ABH AH303,16781 Gas low value,1009
16781,JED-NTH-DHN-40,16781_AC_FAIL,1010,JED-NTH ABH AH303,16781 AC power fail value,1010
16781,JED-NTH-DHN-40,16781_DOOR_OPENED,1011,JED-NTH ABH AH303,16781 Door open value,1011
16781,JED-NTH-DHN-40,16781_DC_ST,1012,JED-NTH ABH AH303,16781 DC power fail value,1012
16781,JED-NTH-DHN-40,16781_MOTOR_CRT_FAIL,1013,JED-NTH ABH AH303,16781 Motor circuit fail value,1013
16781,JED-NTH-DHN-40,16781_RTU_FAIL,1277,JED-NTH ABH AH303,16781 RTU Self diagnostic value,1277
16781,JED-NTH-DHN-40,16781_EFI,1278,JED-NTH ABH AH303,16781 EFI (Fault indication) value,1278
16781,JED-NTH-DHN-40,16781_PROT_HEALTH,1279,JED-NTH ABH AH303,16781 Protection Health value,1279
16781,JED-NTH-DHN-40,16781_PROT_TRIP_EFI,1280,JED-NTH ABH AH303,16781 Protection Trip (Earth fault) value,1280
16781,JED-NTH-DHN-40,16781_PROT_TRIP_PH_FLT,1281,JED-NTH ABH AH303,16781 Protection Trip (Phase fault) value,1281
16781,JED-NTH-DHN-40,16781_Y1-16782_ST,11000,JED-NTH ABH AH303,16781 Y1 state,11000
16781,JED-NTH-DHN-40,16781_TR1_ST,11001,JED-NTH ABH AH303,16781 Q1 state,11001
16781,JED-NTH-DHN-40,16781_Y2-29719_ST,11002,JED-NTH ABH AH303,16781 Y2 state,11002
16781,JED-NTH-DHN-40,16781_LR,11004,JED-NTH ABH AH303,16781 Remote/Local value,11004
16781,JED-NTH-DHN-40,16781_Y1-16782_AMP_A,13015,JED-NTH ABH AH303,16781 Y1 i_a_value(A),13015
16781,JED-NTH-DHN-40,16781_Y1-16782_AMP_B,13016,JED-NTH ABH AH303,16781 Y1 i_b_value(A),13016
16781,JED-NTH-DHN-40,16781_Y1-16782_AMP_C,13017,JED-NTH ABH AH303,16781 Y1 i_c_value(A),13017
16781,JED-NTH-DHN-40,16781_Y1-16782_AMP_N,13018,JED-NTH ABH AH303,16781 Y1 i_n_value(A),13018
16781,JED-NTH-DHN-40,16781_TR1_AMP_A,13019,JED-NTH ABH AH303,16781 Q1 i_a_value(A),13019
16781,JED-NTH-DHN-40,16781_TR1_AMP_B,13020,JED-NTH ABH AH303,16781 Q1 i_b_value(A),13020
16781,JED-NTH-DHN-40,16781_TR1_AMP_C,13021,JED-NTH ABH AH303,16781 Q1 i_c_value(A),13021
16781,JED-NTH-DHN-40,16781_TR1_AMP_N,13022,JED-NTH ABH AH303,16781 Q1 i_n_value(A),13022
16781,JED-NTH-DHN-40,16781_Y2-29719_AMP_A,13023,JED-NTH ABH AH303,16781 Y2 i_a_value(A),13023
16781,JED-NTH-DHN-40,16781_Y2-29719_AMP_B,13024,JED-NTH ABH AH303,16781 Y2 i_b_value(A),13024
16781,JED-NTH-DHN-40,16781_Y2-29719_AMP_C,13025,JED-NTH ABH AH303,16781 Y2 i_c_value(A),13025
16781,JED-NTH-DHN-40,16781_Y2-29719_AMP_N,13026,JED-NTH ABH AH303,16781 Y2 i_n_value(A),13026
16781,JED-NTH-DHN-40,16781_Y1-16782_KVA,13057,JED-NTH ABH AH303,16781 Y1 S(kVA),13057
16781,JED-NTH-DHN-40,16781_Y1-16782_KVAR,13057,,,
16781,JED-NTH-DHN-40,16781_Y1-16782_KW,13058,JED-NTH ABH AH303,16781 Y1 P(kW),13058
16781,,,,JED-NTH ABH AH303,16781 Y1 Q(kVar),13059
16781,JED-NTH-DHN-40,16781_TR1_VOLT_A,13060,JED-NTH ABH AH303,16781 Q1 u_ab_value(kV),13060
16781,JED-NTH-DHN-40,16781_TR1_VOLT_B,13061,JED-NTH ABH AH303,16781 Q1 u_bc_value(kV),13061
16781,JED-NTH-DHN-40,16781_TR1_VOLT_C,13062,JED-NTH ABH AH303,16781 Q1 u_ca_value(kV),13062
16781,JED-NTH-DHN-40,16781_TR1_VN,13063,JED-NTH ABH AH303,16781 Q1 u_n_value(kV),13063
16781,JED-NTH-DHN-40,16781_TR1_VOLT_N,13063,,,
16781,,,,JED-NTH ABH AH303,16781 Q1 S(kVA),13064
16781,JED-NTH-DHN-40,16781_TR1_KW,13065,JED-NTH ABH AH303,16781 Q1 P(kW),13065
16781,JED-NTH-DHN-40,16781_TR1_KVA,13066,JED-NTH ABH AH303,16781 Q1 Q(kVar),13066
16781,JED-NTH-DHN-40,16781_TR1_KVAR,13066,,,
16781,JED-NTH-DHN-40,16781_TR1_PF,13067,JED-NTH ABH AH303,16781 Q1 Power factor,13067
16781,JED-NTH-DHN-40,16781_Y2-29719_KVA,13068,JED-NTH ABH AH303,16781 Y2 S(kVA),13068
16781,JED-NTH-DHN-40,16781_Y2-29719_KVAR,13068,,,
16781,JED-NTH-DHN-40,16781_Y2-29719_KW,13069,JED-NTH ABH AH303,16781 Y2 P(kW),13069
16781,,,,JED-NTH ABH AH303,16781 Y2 Q(kVar),13070
16934,JED-NTH-ABN-29,16934_Y1-8723_CMD,1,JED-NTH ABH AH306,16934 Y1 CMD,1
16934,JED-NTH-ABN-29,16934_TR1_CMD,5,JED-NTH ABH AH306,16934 Q1 CMD,5
16934,JED-NTH-ABN-29,16934_Y2-22333_CMD,9,JED-NTH ABH AH306,16934 Y2 CMD,9
16934,JED-NTH-ABN-29,16934_Y1-8723_ST_LOCK,1000,JED-NTH ABH AH306,16934 Y1/Lock/Unlock indication value,1000
16934,JED-NTH-ABN-29,16934_Y1-8723_ST_GND,1001,JED-NTH ABH AH306,16934 KY1 state,1001
16934,JED-NTH-ABN-29,16934_TR1_ST_LOCK,1002,JED-NTH ABH AH306,16934 Q1/Lock/Unlock indication value,1002
16934,JED-NTH-ABN-29,16934_TR1_ST_GND,1003,JED-NTH ABH AH306,16934 KQ1 state,1003
